a	aː
afrita	a v r ɪ t a
afritið	a v r ɪ t ɪ ð
afritunar	a v r ɪ t ʏ n a r
afritunarhnappinn	a v r ɪ t ʏ n a r n̥ a h p ɪ n
Afríka	aː f r i k a
afríkans	aː f r i k a n s
Afríku	aː f r i k ʏ
afríkuferð	aː f r i k ʏ f ɛ r ð
Afríkumaðurinn	aː f r i k ʏ m aː ð ʏ r ɪ n
Afríkumann	aː f r i k ʏ m a n
afríkumanninum	aː f r i k ʏ m a n ɪ n ʏ m
Afríkumenn	aː f r i k ʏ m ɛ n
afríkuríkjum	aː f r i k ʏ r iː c ʏ m
afríkuverkefnisins	aː f r i k ʏ v ɛ r̥ k ɛ p n ɪ s ɪ n s
afríska	aː f r i s k a
afrískir	aː f r i s c ɪ r
afrískum	aː f r i s k ʏ m
afsagnar	a f s a k n a r
afsaka	a f s a k a
afsakaðan	a f s a k a ð a n
afsakanirnar	a f s a k a n ɪ t n a r
afsakið	a f s a c ɪ ð
afsal	a f s a l
afsala	a f s a l a
afsalað	a f s a l a ð
afsals	a f s a l s
afsanna	a f s a n a
afsíðis	a f s i ð ɪ s
afskaplega	a f s k a p l ɛ ɣ a
afskekkt	a f s c ɛ x t
afskekkta	a f s c ɛ x t a
afskekktan	a f s c ɛ x t a n
afskekktu	a f s c ɛ x t ʏ
afskekktum	a f s c ɛ x t ʏ m
afskipta	a f s c ɪ f t a
afskiptalausa	a f s c ɪ f t a l œyː s a
afskiptaleysi	a f s c ɪ f t a l eiː s ɪ
afskiptasemi	a f s c ɪ f t a s ɛː m ɪ
afskipti	a f s c ɪ f t ɪ
afskiptum	a f s c ɪ f t ʏ m
afskrá	a f s k r au
afskrifa	a f s k r ɪ v a
afskrifta	a v s k r ɪ f t a
afskriftareikning	a v s k r ɪ f t a r ei h k n i ŋ k
afskræmt	a f s k r ai m̥ t
afslappaður	a f s t l a h p a ð ʏ r
afslátt	a f s t l au h t
afsláttar	a f s t l au h t a r
afsláttur	a f s t l au h t ʏ r
afslætti	a f s t l ai h t ɪ
afslöppuð	a f s t l œ h p ʏ ð
afsprengi	a f s p r ei ɲ c ɪ
afspurn	a f s p ʏ r t n̥
afstaða	a f s t a ð a
afstaðan	a f s t a ð a n
afstaðið	a f s t a ð ɪ ð
afstaðin	a f s t a ð ɪ n
afstýra	a f s t i r a
afstýrt	a f s t i r̥ t
afstæður	a f s t ai ð ʏ r
afstætt	a f s t ai h t
afstöðu	a f s t œ ð ʏ
afsögn	a f s œ k n̥
afsökun	a f s œ k ʏ n
afsökunar	a f s œ k ʏ n a r
afsökunarbeiðni	a f s œ k ʏ n a r p ei ð n ɪ
aftakan	a f tʰ a k a n
aftan	a f t a n
aftansöngur	a f t a n s œy ŋ k ʏ r
aftar	a f t a r
aftari	a f t a r ɪ
aftarlega	a f t a r l ɛ ɣ a
aftast	a f t a s t
aftasta	a f t a s t a
aftra	a f t r a
aftraði	a f t r a ð ɪ
aftur	a f t ʏ r
Afturelding	a f t ʏ r ɛ l t i ŋ k
Aftureldingar	a f t ʏ r ɛ l t i ŋ k a r
Aftureldingu	a f t ʏ r ɛ l t i ŋ k ʏ
afturenda	a f t ʏ r ɛ n t a
afturendann	a f t ʏ r ɛ n t a n
afturfótunum	a f t ʏ r f ouː t ɔ n ʏ m
afturfæturna	a f t ʏ r f aiː t ʏ t n a
afturför	a f t ʏ r f œː r
afturgluggann	a f t ʏ r k l ʏ k a n
afturgoldið	a f t ʏ r k ɔ l t ɪ ð
afturgöngu	a f t ʏ r k œy ŋ k ʏ
afturgöngur	a f t ʏ r k œy ŋ k ʏ r
afturhvarf	a f t ʏ r k v a r v
afturkalla	a f t ʏ r k a t l a
afturkvæmt	a f t ʏ r k v ai m̥ t
afturlöppunum	a f t ʏ r l œ h p ɔ n ʏ m
afturstuðarann	a f t ʏ r s t ʏ ð a r a n
aftursæti	a f t ʏ r s aiː t ɪ
aftursætið	a f t ʏ r s aiː t ɪ ð
aftursætinu	a f t ʏ r s aiː t ɪ n ʏ
aftursætum	a f t ʏ r s aiː t ʏ m
aftöku	a f t œ k ʏ
aftökur	a f t œ k ʏ r
afundin	aː v ʏ n t ɪ n
afundinn	aː v ʏ n t ɪ n
afurð	aː v ʏ r ð
afurða	aː v ʏ r ð a
afurðakerfi	aː v ʏ r ð a cʰ ɛ r v ɪ
afurðanna	aː v ʏ r ð a n a
afurðasamsetning	aː v ʏ r ð a s a m s ɛ h t n i ŋ k
afurðastöð	aː v ʏ r ð a s t œː ð
afurðatekjum	aː v ʏ r ð a tʰ ɛː c ʏ m
afurðaverð	aː v ʏ r ð a v ɛ r ð
afurðir	aː v ʏ r ð ɪ r
afurðirnar	aː v ʏ r ð ɪ t n a r
afurðum	aː v ʏ r ð ʏ m
afviknum	a v ɪ h k n ʏ m
afvopnun	a v ɔ h p n ʏ n
afþakka	a f θ a h k a
afþakkað	a f θ a h k a ð
afþakkaði	a f θ a h k a ð ɪ
afþreying	a f θ r ei j i ŋ k
afþreyingar	a f θ r ei j i ŋ k a r
afþreyingarefni	a f θ r ei j i ŋ k a r ɛ p n ɪ
afþreyingu	a f θ r ei j i ŋ k ʏ
aga	aː ɣ a
agalega	aː ɣ a l ɛ ɣ a
agalegt	aː ɣ a l ɛ x t
agaleysi	aː ɣ a l eiː s ɪ
Agatha	aː k a t a
aggagagg	a k a k a k
aggi	a c ɪ
Aggý	a c i
agi	aiː j ɪ
aginn	aiː j ɪ n
Agli	a k l ɪ
agn	a k n̥
Agna	a k n a
Agnar	a k n a r
Agnari	a k n a r ɪ
agnarlítið	a k n a r l iː t ɪ ð
agnarlítil	a k n a r l iː t ɪ l
Agnars	a k n a r̥ s
Agnarsdóttir	a k n a r̥ s t ou h t ɪ r
agnarsmáu	a k n a r s m auː ʏ
Agnarsson	a k n a r̥ s ɔː n
Agnarssonar	a k n a r̥ s ɔː n a r
agnarögn	a k n a r œ k n̥
agndofa	a k n t ɔ v a
Agnes	a k n ɛ s
agnið	a k n ɪ ð
agnir	a k n ɪ r
agúrkunni	aː k u r̥ k ʏ n ɪ
aha	aː h a
aids	ei t s
ak	aː k
aka	aː k a
akademíunnar	aː k a t ɛ m i j ʏ n a r
akandi	aː k a n t ɪ
akfeitur	aː k f ei t ʏ r
aki	aː c ɪ
akkeri	a h c ɛ r ɪ
akkorð	a h k ɔ r ð
akkur	a h k ʏ r
akkúrat	a h k u r a t
aknet	aː kʰ n ɛ t
Akraborginni	aː k r a p ɔ r c ɪ n ɪ
akrafjall	aː k r a f j a t l̥
akrahreppi	aː k r a r̥ ɛ h p ɪ
akrana	aː k r a n a
Akranes	aː k r a n ɛː s
Akranesapótek	aː k r a n ɛː s aː p ou t ɛ k
Akranesi	aː k r a n ɛː s ɪ
Akraneskirkja	aː k r a n ɛ s c ɪ r̥ c a
Akraneskirkju	aː k r a n ɛ s c ɪ r̥ c ʏ
Akraness	aː k r a n ɛ s
akrar	aː k r a r
akrein	aː k r ei n
akreina	aː k r ei n a
akreinar	aː k r ei n a r
akrinum	aː k r ɪ n ʏ m
Akrópólis	aː k r ou p ou l ɪ s
akrýldúkur	aː k r i l t uː k ʏ r
akstri	a k s t r ɪ
akstur	a k s t ʏ r
aksturinn	a k s t ʏ r ɪ n
aksturs	a k s t ʏ r̥ s
akstursíþróttir	a k s t ʏ r̥ s iː θ r ou h t ɪ r
aktífir	a x t i v ɪ r
aktífur	a x t i v ʏ r
aktu	a x t ʏ
aktygi	aː k t i ɪ
akur	aː k ʏ r
akurbrekku	aː k ʏ r p r ɛ h k ʏ
Akureyrar	aː k ʏ r eiː r a r
Akureyrarbæ	aː k ʏ r ei r a r p aiː
Akureyrarbæjar	aː k ʏ r ei r a r p aiː j a r
Akureyrarbær	aː k ʏ r ei r a r p aiː r
Akureyrarkirkja	aː k ʏ r ei r a r c ɪ r̥ c a
Akureyrarkirkju	aː k ʏ r ei r a r c ɪ r̥ c ʏ
Akureyri	aː k ʏ r eiː r ɪ
Akureyringa	aː k ʏ r eiː r i ŋ k a
Akureyringar	aː k ʏ r eiː r i ŋ k a r
Akurgerði	aː k ʏ r c ɛ r ð ɪ
akurlöndin	aː k ʏ r t l œ n t ɪ n
akuryrkju	aː k ʏ r ɪ r̥ c ʏ
akvegur	aː kʰ v ɛ ɣ ʏ r
al	aː l
ala	aː l a
Alaska	aː l a s k a
alast	aː l a s t
Albana	a l p a n a
Albanar	a l p a n a r
Albaníu	a l p a n i j ʏ
albanska	a l p a n s k a
albanskra	a l p a n s k r a
albatros	a l p a tʰ r ɔ s
Albert	a l p ɛ r̥ t
Alberts	a l p ɛ r̥ t s
Albertsdóttir	a l p ɛ r̥ t s t ou h t ɪ r
Albertssonar	a l p ɛ r̥ t s ɔː n a r
albesta	a l p ɛ s t a
albjart	a l p j a r̥ t
albjört	a l p j œ r̥ t
albúin	a l p u ɪ n
albúinn	a l p u ɪ n
albúm	a l p u m
albönsku	a l p œ n s k ʏ
alcoa	a l k ɔ u a
alda	a l t a
aldamót	a l t a m ouː t
aldamótin	a l t a m ouː t ɪ n
aldamótum	a l t a m ouː t ʏ m
aldamótunum	a l t a m ouː t ɔ n ʏ m
aldanna	a l t a n a
aldar	a l t a r
aldaraðir	a l t a r a ð ɪ r
aldarafmæli	a l t a r a m ai l ɪ
aldarfjórðung	a l t a r f j ou r ð u ŋ k
aldarfjórðungi	a l t a r f j ou r ð u ɲ c ɪ
aldarinnar	a l t a r ɪ n a r
aldeilis	a l t ei l ɪ s
aldimmt	a l t ɪ m̥ t
aldir	a l t ɪ r
aldirnar	a l t ɪ t n a r
Aldís	a l t i s
aldna	a l t n a
aldni	a l t n ɪ
aldnir	a l t n ɪ r
aldraða	a l t r a ð a
aldraðir	a l t r a ð ɪ r
aldraðra	a l t r a ð r a
aldraðri	a l t r a ð r ɪ
aldraður	a l t r a ð ʏ r
aldrei	a l t r ei
aldri	a l t r ɪ
aldrinum	a l t r ɪ n ʏ m
aldur	a l t ʏ r
aldurinn	a l t ʏ r ɪ n
aldurs	a l t ʏ r̥ s
aldursári	a l t ʏ r̥ s auː r ɪ
aldursflokki	a l t ʏ r̥ s f l ɔ h c ɪ
aldursflokkum	a l t ʏ r̥ s f l ɔ h k ʏ m
aldurshóp	a l t ʏ r̥ s h ouː p
aldurshópa	a l t ʏ r̥ s h ouː p a
aldurshópar	a l t ʏ r̥ s h ouː p a r
aldurshópi	a l t ʏ r̥ s h ouː p ɪ
aldurshópnum	a l t ʏ r̥ s h ou h p n ʏ m
aldurshópum	a l t ʏ r̥ s h ouː p ʏ m
aldursmun	a l t ʏ r̥ s m ʏː n
aldursmunur	a l t ʏ r̥ s m ʏː n ʏ r
aldursstig	a l t ʏ r̥ s t ɪ ɣ
aldurstakmark	a l t ʏ r̥ s t aː k m a r̥ k
aldurstakmarkið	a l t ʏ r̥ s t a k m a r̥ c ɪ ð
aldurtila	a l t ʏ r t ɪː l a
alefli	aː l ɛ p l ɪ
alein	aː l ei n
aleina	aː l ei n a
aleini	aː l ei n ɪ
aleinir	aː l ei n ɪ r
aleinn	aː l ei t n̥
alex	aː l ɛ k s
Alexander	aː l ɛ k s a n t ɛ r
Alexanders	aː l ɛ k s a n t ɛ r̥ s
Alexandersson	aː l ɛ k s a n t ɛ r̥ s ɔː n
Alexandra	aː l ɛ k s a n t r a
alfaraleið	a l f a r a l eiː ð
alfarið	a l f a r ɪ ð
alfonso	a l f ɔ n s ɔ
Alfreð	a l f r ɛ ð
Alfreðs	a l f r ɛ ð s
Alfreðsdóttir	a l f r ɛ ð s t ou h t ɪ r
Alfreðsson	a l f r ɛ ð s ɔː n
alfreðssonar	a l f r ɛ ð s ɔː n a r
algegnt	a l c ɛ j ŋ̊ t
Algeirsborg	a l c ei r̥ s p ɔ r k
algeng	a l c ei ŋ k
algengar	a l c ei ŋ k a r
algengara	a l c ei ŋ k a r a
algengari	a l c ei ŋ k a r ɪ
algengast	a l c ei ŋ k a s t
algengasta	a l c ei ŋ k a s t a
algengir	a l c ei ɲ c ɪ r
algengt	a l c ei ŋ̊ t
algengum	a l c ei ŋ k ʏ m
algengur	a l c ei ŋ k ʏ r
algengust	a l c ei ŋ k ʏ s t
algengustu	a l c ei ŋ k ʏ s t ʏ
alger	a l c ɛ r
algera	a l c ɛ r a
algerar	a l c ɛ r a r
algerlega	a l c ɛ r l ɛ ɣ a
algerrar	a l c ɛ r a r
algerri	a l c ɛ r ɪ
algert	a l c ɛ r̥ t
algeru	a l c ɛ r ʏ
algild	a l c ɪ l t
algilt	a l c ɪ l̥ t
algjör	a l c œ r
algjöra	a l c œ r a
algjöran	a l c œ r a n
algjörlega	a l c œ r l ɛ ɣ a
algjörri	a l c œ r ɪ
algjört	a l c œ r̥ t
algjöru	a l c œ r ʏ
algjörum	a l c œ r ʏ m
algleymi	a l k l ei m ɪ
algleymingi	a l k l ei m i ɲ c ɪ
algóðan	a l k ou ð a n
algóður	a l k ou ð ʏ r
algróin	a l k r ou ɪ n
algyðishofið	a l k ɪ ð ɪ s h ɔː v ɪ ð
alheiminn	aː l h ei m ɪ n
alheiminum	aː l h ei m ɪ n ʏ m
alheimsins	aː l h ei m s ɪ n s
alheimurinn	aː l h ei m ʏ r ɪ n
alhliða	a l̥ ɪ ð a
alhug	aː l̥ ʏ ɣ
alhuga	aː l h ʏ ɣ a
alhvítur	aː l kʰ v i t ʏ r
ali	aː l ɪ
alið	aː l ɪ ð
alin	aː l ɪ n
alinn	aː l ɪ n
alist	aː l ɪ s t
alkalí	a l kʰ a l i
alkalírafhlöður	a l kʰ a l i r a f l̥ œ ð ʏ r
alklædd	a l k l ai t
alkominn	a l k ɔ m ɪ n
alkóhólista	a l̥ k ou h ou l ɪ s t a
alkunna	a l k ʏ n a
alkunnri	a l kʰ ʏ n r ɪ
alkunnu	a l k ʏ n ʏ
all	a t l̥
alla	a t l a
allajafna	a t l a j a p n a
allan	a t l a n
allar	a t l a r
allavega	a t l a v ɛ ɣ a
allavegana	a t l a v ɛ k a n a
allflestra	a t l̥ f l ɛ s t r a
allforhertur	a t l̥ f ɔː r h ɛ r̥ t ʏ r
allhressilega	a t l̥ r̥ ɛ s ɪ l ɛ ɣ a
Alli	a l ɪ
allir	a t l ɪ r
alllangt	a t l au ŋ̊ t
allliðlegan	a t l ɪ ð l ɛ ɣ a n
allmargar	a t l̥ m a r k a r
allmargir	a t l̥ m a r ɲ c ɪ r
allmikið	a t l̥ m ɪ ɲ c ɪ ð
allmörg	a t l̥ m œ r k
allmörgum	a t l̥ m œ r k ʏ m
allnáið	a t l̥ n au ɪ ð
allnokkra	a t l̥ n ɔ h k r a
allnokkrar	a t l̥ n ɔ h k r a r
allnokkrum	a t l̥ n ɔ h k r ʏ m
allnokkuð	a t l̥ n ɔ h k ʏ ð
allnokkur	a t l̥ n ɔ h k ʏ r
alloft	a t l ɔ f t
allra	a t l̥ r a
allrahanda	a t l̥ r a h a n t a
allrar	a t l̥ r a r
allri	a t l̥ r ɪ
alls	a l s
allsber	a l s p ɛ r
allsberir	a l s p ɛ r ɪ r
allsendis	a l s ɛ n t ɪ s
allsherjar	a l s h ɛ r j a r
allsherjarnefndin	a l s h ɛ r j a r n ɛ m t ɪ n
allsherjarsál	a l s h ɛ r j a r s auː l
allsherjartákn	a l s h ɛ r j a r tʰ au h k n̥
allsherjarþinginu	a l s h ɛ r j a r θ i ɲ c ɪ n ʏ
allskonar	a l s k ɔ n a r
allskostar	a l s k ɔ s t a r
allskyns	a l s c ɪ n s
allsráðandi	a l s r au ð a n t ɪ
allstaðar	a l s t a ð a r
allstóran	a t l̥ s t ouː r a n
allt	a l̥ t
alltaf	a l̥ t a v
alltént	a t l̥ t j ɛ n̥ t
alltsvo	a l̥ t s ɔ
alltumlykjandi	a l̥ t ʏ m l ɪ c a n t ɪ
allur	a t l ʏ r
allvel	a t l̥ v ɛː l
allveruleg	a t l̥ v ɛː r ʏ l ɛ ɣ
allverulega	a t l̥ v ɛː r ʏ l ɛ ɣ a
allverulegt	a t l̥ v ɛː r ʏ l ɛ x t
Alma	a l m a
almanakið	a l m a n aː c ɪ ð
almannafé	a l m a n a f j ɛː
almannafæri	a l m a n a f aiː r ɪ
Almannagjá	a l m a n a c auː
almannahagsmunir	a l m a n a h a x s m ʏ n ɪ r
Almannaskarð	a l m a n a s k a r ð
almannatrygginga	a l m a n a t r ɪ c i ŋ k a
almannatryggingar	a l m a n a t r ɪ c i ŋ k a r
almannavarna	a l m a n a v a r t n a
almannavarnir	a l m a n a v a r t n ɪ r
Almar	a l m a r
Almarsson	a l m a r̥ s ɔː n
almáttugan	a l m au h t ʏ ɣ a n
almáttugs	a l m au h t ʏ x s
almáttugur	a l m au h t ʏ ɣ ʏ r
almenn	a l m ɛ n
almenna	a l m ɛ n a
almennan	a l m ɛ n a n
almennar	a l m ɛ n a r
almennari	a l m ɛ n a r ɪ
almenni	a l m ɛ n ɪ
almennileg	a l m ɛ n ɪ l ɛ ɣ
almennilega	a l m ɛ n ɪ l ɛ ɣ a
almennilegan	a l m ɛ n ɪ l ɛ ɣ a n
almennilegir	a l m ɛ n ɪ l eiː j ɪ r
almennilegt	a l m ɛ n ɪ l ɛ x t
almennilegum	a l m ɛ n ɪ l ɛ ɣ ʏ m
almennilegur	a l m ɛ n ɪ l ɛ ɣ ʏ r
almenning	a l m ɛ n i ŋ k
almenningi	a l m ɛ n i ɲ c ɪ
almenninginn	a l m ɛ n i ɲ c ɪ n
almenningnum	a l m ɛ n i ŋ k n ʏ m
almennings	a l m ɛ n i ŋ k s
almenningsálitið	a l m ɛ n i ŋ k s auː l ɪ t ɪ ð
almenningseign	a l m ɛ n i ŋ k s ei k n̥
almenningssamgangna	a l m ɛ n i ŋ k s a m k au ŋ k n a
almenningssamgöngum	a l m ɛ n i ŋ k s a m k œy ŋ k ʏ m
almenningssamgöngur	a l m ɛ n i ŋ k s a m k œy ŋ k ʏ r
almenningstindur	a l m ɛ n i ŋ s t ɪ n t ʏ r
almenningur	a l m ɛ n i ŋ k ʏ r
almennir	a l m ɛ n ɪ r
almennra	a l m ɛ n r a
almennrar	a l m ɛ n r a r
almennri	a l m ɛ n r ɪ
almenns	a l m ɛ n s
almennt	a l m ɛ n̥ t
almennum	a l m ɛ n ʏ m
almennur	a l m ɛ n ʏ r
almúgann	a l m u ɣ a n
almúgans	a l m u ɣ a n s
almúginn	a l m u j ɪ n
almættið	a l m ai h t ɪ ð
almættinu	a l m ai h t ɪ n ʏ
alnæmi	a l n ai m ɪ
alnæmis	a l n ai m ɪ s
Alnæmissamtökin	a l n ai m ɪ s a m t œ c ɪ n
aloe	aː l ɔ u ɛ
alpagreinar	a l̥ p a k r ei n a r
alpagreinum	a l̥ p a k r ei n ʏ m
alpaklúbburinn	a l̥ p a kʰ l u p ʏ r ɪ n
alrangt	a l r au ŋ̊ t
alríkislögreglunnar	a l r i c ɪ s t l œ ɣ r ɛ k l ʏ n a r
alræði	a l r ai ð ɪ
alræmda	a l r ai m t a
alræmdu	a l r ai m t ʏ
alræmdur	a l r ai m t ʏ r
als	a l s
alsett	a l s ɛ h t
alsettum	aː l s ɛ h t ʏ m
alsettur	a l s ɛ h t ʏ r
Alsír	a l s i r
alskegg	a l s c ɛ k
alsnjóa	aː l s t n j ou a
alsoddi	a l s ɔ t ɪ
alstaðar	a l s t a ð a r
alsæll	a l s ai t l̥
alsælu	a l s ai l ʏ
alt	a l̥ t
altalandi	aː l t aː l a n t ɪ
altari	a l̥ t a r ɪ
altarið	a l̥ t a r ɪ ð
altarinu	a l̥ t a r ɪ n ʏ
altaris	a l̥ t a r ɪ s
altarisganga	a l̥ t a r ɪ s k au ŋ k a
altarisgöngu	a l̥ t a r ɪ s k œy ŋ k ʏ
altarissakramentið	a l̥ t a r ɪ s a k r a m ɛ n̥ t ɪ ð
altarissveinn	a l̥ t a r ɪ s v ei t n̥
altaristöfluna	a l̥ t a r ɪ s t œ p l ʏ n a
altekið	a l t ɛ c ɪ ð
altekin	a l t ɛ c ɪ n
altekinn	a l t ɛ c ɪ n
alténd	a l t j ɛ n̥ t
alúð	aː l u ð
alúðlegur	aː l u ð l ɛ ɣ ʏ r
alvara	a l v a r a
alvaran	a l v a r a n
alvarleg	a l v a r l ɛ ɣ
alvarlega	a l v a r l ɛ ɣ a
alvarlegan	a l v a r l ɛ ɣ a n
alvarlegar	a l v a r l ɛ ɣ a r
alvarlegasta	a l v a r l ɛ ɣ a s t a
alvarlegir	a l v a r l ei j ɪ r
alvarlegra	a l v a r l ɛ ɣ r a
alvarlegri	a l v a r l ɛ ɣ r ɪ
alvarlegs	a l v a r l ɛ x s
alvarlegt	a l v a r l ɛ x t
alvarlegu	a l v a r l ɛ ɣ ʏ
alvarlegum	a l v a r l ɛ ɣ ʏ m
alvarlegur	a l v a r l ɛ ɣ ʏ r
alvarlegustu	a l v a r l ɛ ɣ ʏ s t ʏ
alvarleika	a l v a r l eiː k a
alveg	a l v ɛ ɣ
alveldi	a l v ɛ l t ɪ
alversta	a l v ɛ r̥ s t a
Alviðru	a l v ɪ ð r ʏ
alvitur	a l v ɪ t ʏ r
alvæpni	a l v ai h p n ɪ
alvöru	a l v œ r ʏ
alvörugefin	a l v œ r ʏ c ɛ v ɪ n
alvörugefinn	a l v œ r ʏ c ɛ v ɪ n
alvörugefni	a l v œ r ʏ c ɛ p n ɪ
alvörumál	a l v œ r ʏ m auː l
alvöruna	a l v œ r ʏ n a
alvörunni	a l v œ r ʏ n ɪ
alvörupabba	a l v œ r ʏ p a p a
alvörusamninga	a l v œ r ʏ s a m n i ŋ k a
alvörusvip	a l v œ r ʏ s v ɪː p
alvöruþunga	a l v œ r ʏ θ u ŋ k a
Alzheimer	a l s h ai m ɛ r
alþekkt	a l θ ɛ x t
Alþingi	a l θ i ɲ c ɪ
Alþingis	a l θ i ɲ c ɪ s
Alþingishúsið	a l θ i ɲ c s h uː s ɪ ð
alþingiskosningar	a l θ i ɲ c ɪ s k ɔ s t n i ŋ k a r
alþingiskosningum	a l θ i ɲ c ɪ s k ɔ s t n i ŋ k ʏ m
alþingismaður	a l θ i ɲ c ɪ s m aː ð ʏ r
alþingismanna	a l θ i ɲ c ɪ s m a n a
alþingismanni	a l θ i ɲ c ɪ s m a n ɪ
alþingismanns	a l θ i ɲ c ɪ s m a n s
alþingismenn	a l θ i ɲ c ɪ s m ɛ n
alþingismönnum	a l θ i ɲ c ɪ s m œ n ʏ m
alþjóð	a l θ j ou ð
alþjóða	a l θ j ou ð a
Alþjóðabankans	a l θ j ou ð a p au ŋ̊ k a n s
Alþjóðabankinn	a l θ j ou ð a p au ŋ̊ c ɪ n
alþjóðagjaldeyrissjóðurinn	a l θ j ou ð a c a l t ei r ɪ s j ou ð ʏ r ɪ n
alþjóðahvalveiðiráðsins	a l θ j ou ð a k v a l v ei ð ɪ r au ð s ɪ n s
alþjóðamarkaði	a l θ j ou ð a m a r̥ k a ð ɪ
alþjóðamál	a l θ j ou ð a m auː l
alþjóðamálum	a l θ j ou ð a m auː l ʏ m
alþjóðasamfélagið	a l θ j ou ð a s a m f j ɛ l ai j ɪ ð
alþjóðasamfélaginu	a l θ j ou ð a s a m f j ɛ l ai j ɪ n ʏ
alþjóðasamfélagsins	a l θ j ou ð a s a m f j ɛ l a x s ɪ n s
alþjóðasamninga	a l θ j ou ð a s a m n i ŋ k a
alþjóðastofnana	a l θ j ou ð a s t ɔ p n a n a
alþjóðasveitanna	a l θ j ou ð a s v eiː t a n a
alþjóðasveitirnar	a l θ j ou ð a s v eiː t ɪ t n a r
alþjóðasveitunum	a l θ j ou ð a s v eiː t ɔ n ʏ m
alþjóðavettvangi	a l θ j ou ð a v ɛ h t v au ɲ c ɪ
alþjóðavísu	a l θ j ou ð a v iː s ʏ
alþjóðavæðing	a l θ j ou ð a v aiː ð i ŋ k
alþjóðavæðingar	a l θ j ou ð a v aiː ð i ŋ k a r
alþjóðavæðingu	a l θ j ou ð a v aiː ð i ŋ k ʏ
alþjóðleg	a l θ j ou ð l ɛ ɣ
alþjóðlega	a l θ j ou ð l ɛ ɣ a
alþjóðlegan	a l θ j ou ð l ɛ ɣ a n
alþjóðlegar	a l θ j ou ð l ɛ ɣ a r
alþjóðlegi	a l θ j ou ð l ei j ɪ
alþjóðlegir	a l θ j ou ð l ei j ɪ r
alþjóðlegra	a l θ j ou ð l ɛ ɣ r a
alþjóðlegrar	a l θ j ou ð l ɛ ɣ r a r
alþjóðlegri	a l θ j ou ð l ɛ ɣ r ɪ
alþjóðlegs	a l θ j ou ð l ɛ x s
alþjóðlegt	a l θ j ou ð l ɛ x t
alþjóðlegu	a l θ j ou ð l ɛ ɣ ʏ
alþjóðlegum	a l θ j ou ð l ɛ ɣ ʏ m
alþjóðlegur	a l θ j ou ð l ɛ ɣ ʏ r
alþýða	a l θ i ð a
alþýðan	a l θ i ð a n
alþýðu	a l θ i ð ʏ
Alþýðubandalagið	a l θ i ð ʏ p a n t a l ai j ɪ ð
Alþýðubandalaginu	a l θ i ð ʏ p a n t a l ai j ɪ n ʏ
Alþýðubandalagsins	a l θ i ð ʏ p a n t a l a x s ɪ n s
Alþýðublaðið	a l θ i ð ʏ p l aː ð ɪ ð
Alþýðublaðinu	a l θ i ð ʏ p l aː ð ɪ n ʏ
Alþýðuflokksins	a l θ i ð ʏ f l ɔ h k s ɪ n s
Alþýðuhúsinu	a l θ i ð ʏ h uː s ɪ n ʏ
alþýðunnar	a l θ i ð ʏ n a r
alþýðunni	a l θ i ð ʏ n ɪ
Alþýðusambandið	a l θ i ð ʏ s a m p a n t ɪ ð
Alþýðusambands	a l θ i ð ʏ s a m p a n t s
Alþýðusambandsins	a l θ i ð ʏ s a m p a n t s ɪ n s
ama	aː m a
amaði	aː m a ð ɪ
amalegt	aː m a l ɛ x t
Amalía	aː m a l i j a
Amalíu	aː m a l i j ʏ
Amanda	aː m a n t a
amar	aː m a r
amast	aː m a s t
ambassadorinn	a m p a s a t ɔ r ɪ n
ambátt	a m p au h t
ambáttin	a m p au h t ɪ n
ambáttir	a m p au h t ɪ r
amen	aː m ɛ n
Ameríka	aː m ɛ r i k a
Ameríkana	aː m ɛ r i k aː n a
Ameríkanar	aː m ɛ r i k aː n a r
Ameríkanarnir	aː m ɛ r i k a n a t n ɪ r
Ameríkani	aː m ɛ r i k aː n ɪ
Ameríkaninn	aː m ɛ r i k aː n ɪ n
Ameríku	aː m ɛ r i k ʏ
Ameríkumaðurinn	aː m ɛ r i k ʏ m aː ð ʏ r ɪ n
amerísk	aː m ɛ r i s k
ameríska	aː m ɛ r i s k a
amerískan	aː m ɛ r i s k a n
amerískar	aː m ɛ r i s k a r
ameríski	aː m ɛ r i s c ɪ
amerískir	aː m ɛ r i s c ɪ r
amerískri	aː m ɛ r i s k r ɪ
amerískt	aː m ɛ r i s t
amerísku	aː m ɛ r i s k ʏ
amerískum	aː m ɛ r i s k ʏ m
amerískur	aː m ɛ r i s k ʏ r
ametyst	aː m ɛ t ɪ s t
amfetamín	a m f ɛ t a m iː n
amfetamíni	a m f ɛ t a m iː n ɪ
amfetamíns	a m f ɛ t a m i n s
amma	a m a
amman	a m a n
amper	a m̥ p ɛ r
Amsterdam	a m s t ɛ r t a m
amstri	a m s t r ɪ
amstur	a m s t ʏ r
amtmaður	a m̥ t m a ð ʏ r
amtmanni	a m̥ t m a n ɪ
amtmanns	a m̥ t m a n s
amtmannsins	a m̥ t m a n s ɪ n s
Amtsbókasafnið	a m̥ t s p ou k a s a p n ɪ ð
ana	aː n a
ananas	aː n a n a s
anarkismi	aː n a r c ɪ s m ɪ
anarkista	aː n a r c ɪ s t a
anarkistar	aː n a r c ɪ s t a r
anda	a n t a
andað	a n t a ð
andaði	a n t a ð ɪ
andaðist	a n t a ð ɪ s t
